"filename", "language", "TypeScript", "vue", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\学习\前端\Gmall\src\App.vue", "vue", 0, 17, 0, 0, 0, 0, 4, 21
"c:\学习\前端\Gmall\src\api\index.ts", "TypeScript", 9, 0, 0, 0, 0, 5, 6, 20
"c:\学习\前端\Gmall\src\api\mockRequest.ts", "TypeScript", 28, 0, 0, 0, 0, 11, 7, 46
"c:\学习\前端\Gmall\src\api\request.ts", "TypeScript", 28, 0, 0, 0, 0, 11, 7, 46
"c:\学习\前端\Gmall\src\assets\base.css", "CSS", 0, 0, 0, 59, 0, 2, 14, 75
"c:\学习\前端\Gmall\src\assets\iconfont.css", "CSS", 0, 0, 0, 1062, 0, 0, 0, 1062
"c:\学习\前端\Gmall\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\学习\前端\Gmall\src\assets\reset.css", "CSS", 0, 0, 0, 54, 0, 10, 13, 77
"c:\学习\前端\Gmall\src\assets\swiper.min.css", "CSS", 0, 0, 0, 1, 0, 11, 1, 13
"c:\学习\前端\Gmall\src\components\footer\index.vue", "vue", 0, 158, 0, 0, 0, 1, 14, 173
"c:\学习\前端\Gmall\src\components\header\index.vue", "vue", 0, 164, 0, 0, 0, 3, 21, 188
"c:\学习\前端\Gmall\src\components\type-nav\index.vue", "vue", 0, 287, 0, 0, 0, 1, 24, 312
"c:\学习\前端\Gmall\src\interface\index.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 7, 72
"c:\学习\前端\Gmall\src\lib\eventBus.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 3
"c:\学习\前端\Gmall\src\main.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 4, 19
"c:\学习\前端\Gmall\src\mock\banner.json", "JSON", 0, 0, 18, 0, 0, 0, 1, 19
"c:\学习\前端\Gmall\src\mock\floor.json", "JSON", 0, 0, 130, 0, 0, 0, 1, 131
"c:\学习\前端\Gmall\src\mock\mockServe.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 2, 13
"c:\学习\前端\Gmall\src\router\index.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 3, 46
"c:\学习\前端\Gmall\src\stores\home\index.ts", "TypeScript", 37, 0, 0, 0, 0, 2, 2, 41
"c:\学习\前端\Gmall\src\stores\search\index.ts", "TypeScript", 17, 0, 0, 0, 0, 1, 2, 20
"c:\学习\前端\Gmall\src\views\HomeView\brand\index.vue", "vue", 0, 68, 0, 0, 0, 1, 8, 77
"c:\学习\前端\Gmall\src\views\HomeView\floor\index.vue", "vue", 0, 204, 0, 0, 0, 1, 26, 231
"c:\学习\前端\Gmall\src\views\HomeView\index.vue", "vue", 0, 24, 0, 0, 0, 0, 3, 27
"c:\学习\前端\Gmall\src\views\HomeView\like\index.vue", "vue", 0, 154, 0, 0, 0, 1, 14, 169
"c:\学习\前端\Gmall\src\views\HomeView\list-container\index.vue", "vue", 0, 267, 0, 0, 0, 2, 31, 300
"c:\学习\前端\Gmall\src\views\HomeView\rank\index.vue", "vue", 0, 200, 0, 0, 0, 1, 20, 221
"c:\学习\前端\Gmall\src\views\HomeView\today-recommend\index.vue", "vue", 0, 68, 0, 0, 0, 1, 10, 79
"c:\学习\前端\Gmall\src\views\login.vue", "vue", 0, 7, 0, 0, 0, 0, 3, 10
"c:\学习\前端\Gmall\src\views\register.vue", "vue", 0, 7, 0, 0, 0, 0, 3, 10
"c:\学习\前端\Gmall\src\views\search\SearchSelector\SearchSelector.vue", "vue", 0, 148, 0, 0, 0, 0, 18, 166
"c:\学习\前端\Gmall\src\views\search\index.vue", "vue", 0, 530, 0, 0, 0, 4, 60, 594
"Total", "-", 253, 2303, 148, 1176, 1, 71, 330, 4282
