"filename", "language", "CSS", "TypeScript", "vue", "XML", "JSON", "comment", "blank", "total"
"c:\学习\前端\Gmall\src\App.vue", "vue", 0, 0, 17, 0, 0, 0, 4, 21
"c:\学习\前端\Gmall\src\api\index.ts", "TypeScript", 0, 10, 0, 0, 0, 5, 7, 22
"c:\学习\前端\Gmall\src\api\mockRequest.ts", "TypeScript", 0, 28, 0, 0, 0, 11, 7, 46
"c:\学习\前端\Gmall\src\api\request.ts", "TypeScript", 0, 28, 0, 0, 0, 11, 7, 46
"c:\学习\前端\Gmall\src\assets\base.css", "CSS", 59, 0, 0, 0, 0, 2, 14, 75
"c:\学习\前端\Gmall\src\assets\iconfont.css", "CSS", 1062, 0, 0, 0, 0, 0, 0, 1062
"c:\学习\前端\Gmall\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\学习\前端\Gmall\src\assets\reset.css", "CSS", 54, 0, 0, 0, 0, 10, 13, 77
"c:\学习\前端\Gmall\src\assets\swiper.min.css", "CSS", 1, 0, 0, 0, 0, 11, 1, 13
"c:\学习\前端\Gmall\src\components\footer\index.vue", "vue", 0, 0, 158, 0, 0, 1, 14, 173
"c:\学习\前端\Gmall\src\components\header\index.vue", "vue", 0, 0, 164, 0, 0, 3, 21, 188
"c:\学习\前端\Gmall\src\components\pagination\index.vue", "vue", 0, 0, 127, 0, 0, 8, 13, 148
"c:\学习\前端\Gmall\src\components\type-nav\index.vue", "vue", 0, 0, 292, 0, 0, 1, 23, 316
"c:\学习\前端\Gmall\src\interface\index.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 13, 135
"c:\学习\前端\Gmall\src\lib\eventBus.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 1, 3
"c:\学习\前端\Gmall\src\main.ts", "TypeScript", 0, 15, 0, 0, 0, 2, 4, 21
"c:\学习\前端\Gmall\src\mock\banner.json", "JSON", 0, 0, 0, 0, 18, 0, 1, 19
"c:\学习\前端\Gmall\src\mock\floor.json", "JSON", 0, 0, 0, 0, 130, 0, 1, 131
"c:\学习\前端\Gmall\src\mock\mockServe.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\学习\前端\Gmall\src\router\index.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 4, 61
"c:\学习\前端\Gmall\src\stores\detail\index.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 19
"c:\学习\前端\Gmall\src\stores\home\index.ts", "TypeScript", 0, 37, 0, 0, 0, 2, 2, 41
"c:\学习\前端\Gmall\src\stores\search\index.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 2, 21
"c:\学习\前端\Gmall\src\views\Detail\ImageList\ImageList.vue", "vue", 0, 0, 68, 0, 0, 0, 10, 78
"c:\学习\前端\Gmall\src\views\Detail\Zoom\Zoom.vue", "vue", 0, 0, 69, 0, 0, 0, 9, 78
"c:\学习\前端\Gmall\src\views\Detail\index.vue", "vue", 0, 0, 838, 0, 0, 9, 89, 936
"c:\学习\前端\Gmall\src\views\HomeView\brand\index.vue", "vue", 0, 0, 68, 0, 0, 1, 8, 77
"c:\学习\前端\Gmall\src\views\HomeView\floor\index.vue", "vue", 0, 0, 206, 0, 0, 1, 26, 233
"c:\学习\前端\Gmall\src\views\HomeView\index.vue", "vue", 0, 0, 24, 0, 0, 0, 3, 27
"c:\学习\前端\Gmall\src\views\HomeView\like\index.vue", "vue", 0, 0, 154, 0, 0, 1, 14, 169
"c:\学习\前端\Gmall\src\views\HomeView\list-container\index.vue", "vue", 0, 0, 267, 0, 0, 2, 31, 300
"c:\学习\前端\Gmall\src\views\HomeView\rank\index.vue", "vue", 0, 0, 200, 0, 0, 1, 20, 221
"c:\学习\前端\Gmall\src\views\HomeView\today-recommend\index.vue", "vue", 0, 0, 68, 0, 0, 1, 10, 79
"c:\学习\前端\Gmall\src\views\login.vue", "vue", 0, 0, 7, 0, 0, 0, 3, 10
"c:\学习\前端\Gmall\src\views\register.vue", "vue", 0, 0, 7, 0, 0, 0, 3, 10
"c:\学习\前端\Gmall\src\views\search\SearchSelector\SearchSelector.vue", "vue", 0, 0, 148, 0, 0, 0, 18, 166
"c:\学习\前端\Gmall\src\views\search\index.vue", "vue", 0, 0, 566, 0, 0, 4, 61, 631
"Total", "-", 1176, 346, 3448, 1, 148, 88, 460, 5667
